id	Mass	molecular	a(xx)	a(yy)	a(zz)	ASA	ASA+	ASA-	ASA_H	ASA_P	Dreiding energy	fsp3	Harary index	Hyper wiener index	Maximal projection area	Maximal projection radius	Length perpendicular to the max area	Minimal projection area	Minimal projection radius	Length perpendicular to the min area	MMFF94 energy	Van der Waals surface area (3D)	Platt index	Polar surface area	Randic index	Szeged index	Van der Waals surface area (3D)	Wiener polarity	logP	acceptorcount	donorcount	accsitecount	donsitecount	count
13	489.19	37.07	55.93	37.36	17.93	426.74	302.50	124.24	389.68	37.06	55.40	0.10	87.44	3979	106.11	8.59	4.61	33.65	4.69	16.87	267.70	363.03	86	0.00	11.38	1900	363.03	38	4.65	3	0	3	0	200
14	335.26	31.68	48.88	30.58	15.60	412.36	322.25	90.11	368.89	43.47	57.16	0.11	75.79	2828	91.59	8.16	4.80	31.72	4.34	15.99	159.78	339.89	74	25.78	10.40	1555	339.89	34	2.90	3	0	3	0	200
15	443.49	43.94	63.17	46.54	22.11	468.57	376.12	92.45	450.62	17.95	136.82	0.08	113.88	5530	118.64	8.72	5.29	44.09	5.71	16.41	297.64	421.95	102	0.00	13.38	2688	421.95	49	3.26	1	0	1	0	200
16	393.536	42.88	59.59	45.87	23.18	448.43	335.28	113.16	418.01	30.42	134.89	0.09	119.99	6177	114.35	8.51	6.97	48.12	5.13	16.83	250.49	412.40	104	38.67	13.88	3369	412.40	52	2.85	3	0	3	0	200
17	274.509	28.28	27.37	15.39	42.07	398.24	335.20	63.04	371.52	26.72	138.62	0.00	49.72	1238	79.86	7.60	5.02	32.91	4.06	15.00	233.77	285.71	56	0.00	7.90	642	285.71	20	-0.96	0	0	0	0	200
18	258.3139	30.31	42.70	32.98	15.26	367.14	298.45	68.69	308.02	59.12	74.42	0.16	71.92	2096	84.43	6.81	4.81	35.80	4.91	13.34	127.78	296.99	72	13.14	9.92	1127	296.99	32	2.88	0	0	0	0	200
19	336.4613	38.02	53.53	42.35	18.19	483.89	342.53	141.36	449.77	34.12	112.75	0.05	99.75	4508	109.55	8.35	4.52	43.46	6.16	16.13	266.10	411.30	90	28.68	12.38	2611	411.30	44	2.48	1	1	1	1	200
20	343.474	37.55	57.41	36.96	18.27	459.64	356.70	102.94	413.15	46.49	119.19	0.05	93.28	4364	103.20	8.60	6.32	33.76	4.41	17.39	223.32	388.07	88	26.03	11.88	2091	388.07	41	2.51	1	0	1	0	200
21	394.6449	42.29	58.09	47.47	21.30	480.75	409.30	71.45	400.74	80.01	190.81	0.04	115.42	5027	118.98	8.32	5.42	46.97	5.88	16.53	350.67	424.63	102	13.14	13.40	2755	424.63	50	-1.03	0	0	0	0	133
22	389.37	38.69	55.57	41.96	18.54	446.14	307.01	139.14	446.14	0.00	86.62	0.09	94.34	4020	107.48	8.11	4.57	39.20	5.34	15.33	229.04	395.86	88	0.00	11.90	2219	395.86	42	5.34	1	0	1	0	200
23	455.29	38.34	57.27	39.52	18.23	469.57	310.42	159.15	416.90	52.67	71.32	0.05	92.72	4582	110.04	8.78	4.20	32.66	4.58	17.53	241.80	397.35	88	12.89	11.88	2249	397.35	41	5.18	3	0	3	0	200
24	411.36	41.05	45.62	58.46	19.06	460.42	305.01	155.41	422.52	37.90	120.38	0.08	114.83	5268	116.21	8.11	4.84	40.49	5.35	16.06	333.37	430.93	102	31.58	13.40	2698	430.93	50	5.67	1	2	1	2	200
25	385.32	37.10	53.19	38.95	19.15	448.40	300.10	148.31	431.73	16.67	97.98	0.04	100.54	4377	105.76	7.84	5.92	40.60	4.84	15.51	282.29	412.35	90	13.14	12.40	2434	412.35	45	6.02	1	0	1	0	200
26	402.37	39.18	58.04	41.03	18.48	466.01	300.64	165.36	435.35	30.66	97.71	0.05	99.53	4677	112.30	8.74	4.21	37.87	4.99	17.14	244.29	412.79	90	12.89	12.38	2472	412.79	44	5.60	2	0	2	0	200
27	393.536	42.81	59.43	45.84	23.17	464.57	325.10	139.47	433.07	31.50	134.01	0.09	119.99	6177	113.86	8.38	7.15	47.50	5.28	16.54	253.15	414.63	104	38.67	13.88	3369	414.63	52	1.30	3	0	3	0	186
28	377.461	42.74	61.54	46.18	20.52	447.03	316.50	130.53	435.52	11.51	103.80	0.12	119.78	6275	113.64	8.38	5.11	41.17	5.17	16.69	193.76	414.87	104	38.67	13.88	3435	414.87	52	4.73	3	0	3	0	200
29	285.4146	32.40	31.50	16.58	49.12	405.28	304.10	101.17	393.39	11.89	95.11	0.11	75.79	2828	92.69	8.12	5.06	31.37	4.32	16.16	192.15	347.93	74	12.89	10.40	1555	347.93	34	2.16	1	0	1	0	8
30	400.6187	45.29	62.72	47.84	25.32	514.57	388.14	126.43	514.57	0.00	178.36	0.04	125.83	7016	122.35	8.65	7.49	52.04	5.39	17.30	365.92	465.89	106	0.00	14.38	3915	465.89	55	1.54	0	0	0	0	1
31	379.5582	42.01	61.96	43.84	20.23	475.94	378.57	97.37	443.23	32.72	174.80	0.04	113.88	5530	116.83	8.76	5.01	41.50	5.41	17.40	306.86	415.78	102	28.93	13.38	2688	415.78	49	1.13	0	1	0	1	200
32	370.4452	43.64	47.44	63.44	20.05	505.21	350.79	154.42	477.76	27.44	111.73	0.07	125.62	7114	121.40	8.77	5.15	45.90	5.59	17.23	278.81	463.19	106	28.68	14.38	3987	463.19	55	5.54	1	1	1	1	200
33	427.42	43.41	62.76	44.98	22.49	454.89	350.98	103.91	437.05	17.85	106.07	0.12	113.88	5530	115.84	8.66	6.71	42.39	5.31	17.33	256.98	413.56	102	0.00	13.38	2688	413.56	49	4.86	1	0	1	0	200
34	323.25	30.59	33.28	43.34	15.15	371.42	277.01	94.41	359.97	11.45	62.79	0.11	70.87	2355	88.52	7.09	6.39	38.59	5.33	13.94	169.24	305.19	72	13.14	9.90	1243	305.19	31	3.85	1	0	1	0	200
35	336.25	30.46	44.69	31.93	14.77	401.92	262.12	139.80	366.81	35.11	72.27	0.06	77.19	2437	92.42	7.53	4.59	33.39	4.62	15.03	209.92	343.46	74	26.03	10.42	1402	343.46	35	3.71	2	0	2	0	200
36	393.533	42.66	61.25	43.46	23.27	486.01	348.21	137.80	456.17	29.85	151.55	0.04	119.99	6177	113.52	8.55	6.87	45.74	4.89	17.05	300.84	448.49	104	26.03	13.88	3369	448.49	52	3.33	1	0	1	0	200
37	491.38	42.35	44.98	59.80	22.27	491.04	337.44	153.59	471.90	19.14	120.77	0.04	113.88	5530	119.32	8.63	6.61	50.05	5.32	17.23	351.04	437.62	102	15.79	13.38	2688	437.62	49	3.46	2	1	2	1	200
38	332.439	36.85	54.13	38.40	18.02	434.91	338.67	96.24	384.58	50.33	103.18	0.10	89.43	3280	100.03	8.16	4.60	32.70	4.80	16.30	170.80	365.32	86	13.14	11.40	1686	365.32	39	5.32	0	0	0	0	200
39	436.27	37.93	54.57	41.16	18.06	452.91	310.60	142.31	452.91	0.00	70.33	0.09	94.34	4020	108.36	8.09	4.71	38.44	5.50	15.33	270.36	400.56	88	0.00	11.90	2219	400.56	42	5.10	2	0	2	0	121
40	370.4452	43.35	59.91	50.22	19.92	497.12	343.02	154.10	462.94	34.17	137.42	0.07	127.51	6360	122.08	8.42	4.53	45.82	6.60	16.32	297.10	462.04	106	28.68	14.40	3871	462.04	56	5.15	1	1	1	1	200
41	402.37	39.08	56.43	42.35	18.45	475.47	322.93	152.54	445.68	29.79	100.43	0.05	100.42	4332	110.52	8.41	4.92	36.72	5.52	16.38	242.35	412.21	90	12.89	12.40	2471	412.21	45	5.67	2	0	2	0	200
42	441.40	43.02	60.37	46.38	22.32	486.68	344.51	142.17	449.49	37.19	127.40	0.04	120.90	5849	117.80	8.34	5.63	44.85	5.62	16.12	308.11	454.49	104	13.14	13.90	3220	454.49	53	6.77	1	0	1	0	200
43	411.574	43.80	58.80	51.46	21.12	473.74	318.51	155.24	439.67	34.07	151.60	0.05	121.37	5705	119.23	8.48	5.12	43.57	6.24	16.63	276.28	437.91	104	38.67	13.90	3291	437.91	53	2.81	3	0	3	0	200
44	441.41	43.43	61.13	48.62	20.54	463.91	316.42	147.49	463.91	0.00	101.25	0.08	119.25	6455	119.84	8.60	5.04	37.43	5.20	16.80	249.06	419.12	104	25.78	13.88	3291	419.12	52	5.16	3	0	3	0	200
45	338.5493	38.51	54.39	41.57	19.57	443.96	366.07	77.89	443.96	0.00	142.06	0.09	95.03	3763	106.25	8.21	6.54	41.83	5.50	16.31	249.37	380.88	88	0.00	11.90	2092	380.88	42	1.58	0	0	0	0	1
46	409.51	38.33	54.36	41.15	19.48	449.40	347.00	102.40	449.40	0.00	138.99	0.05	88.87	3521	106.48	8.14	5.70	39.56	5.10	15.85	289.75	380.31	86	0.00	11.40	1811	380.31	39	0.74	1	0	1	0	200
47	386.508	45.60	62.62	50.06	24.11	505.47	349.20	156.28	478.67	26.80	138.71	0.07	125.93	6930	121.18	8.52	6.24	50.84	6.26	16.50	295.78	473.08	106	0.00	14.38	4039	473.08	55	7.07	0	0	0	0	75
48	408.40	38.77	56.83	40.94	18.55	453.93	294.37	159.56	405.44	48.49	100.95	0.05	94.39	3992	108.01	8.50	5.33	36.68	5.22	16.94	217.14	392.40	88	12.89	11.90	2114	392.40	42	5.01	2	0	2	0	200
49	309.3606	35.59	52.30	37.08	17.40	415.26	321.33	93.93	342.82	72.44	85.63	0.14	94.74	3881	99.06	8.02	4.76	38.99	4.96	15.98	163.00	362.94	88	26.03	11.90	2107	362.94	42	3.64	1	0	1	0	200
50	448.42	42.78	60.67	47.80	19.87	480.40	283.74	196.66	433.14	47.26	97.51	0.05	113.39	5779	117.21	8.42	4.22	43.08	6.54	15.76	242.95	421.53	102	41.57	13.38	3045	421.53	49	5.82	3	1	3	1	200
51	337.4494	37.34	56.62	37.42	17.97	466.50	331.25	135.26	424.45	42.05	121.68	0.05	98.86	4954	106.46	8.72	5.55	32.88	4.87	17.54	245.17	403.61	90	41.57	12.38	2671	403.61	44	1.44	2	1	2	1	200
52	384.33	38.52	38.07	59.22	18.28	469.36	336.52	132.84	450.52	18.84	82.04	0.09	98.59	5075	109.59	8.93	5.01	37.40	4.66	17.53	241.77	410.00	90	12.89	12.38	2531	410.00	44	4.88	2	0	2	0	200
53	280.3624	34.09	36.08	49.70	16.50	442.16	293.02	149.14	442.16	0.00	81.93	0.09	79.95	3491	97.37	7.78	4.24	37.66	4.90	15.35	199.13	370.80	76	0.00	10.88	1989	370.80	36	5.10	0	0	0	0	1
54	289.354	31.83	43.54	36.11	15.83	387.37	266.00	121.37	376.10	11.26	64.94	0.12	77.00	2472	88.97	7.14	4.74	36.61	5.26	14.19	126.36	325.86	74	38.67	10.42	1459	325.86	35	3.64	3	0	3	0	200
55	364.462	41.84	47.33	58.76	19.42	467.97	310.15	157.82	415.74	52.24	114.65	0.08	115.42	5027	115.09	8.23	4.89	45.27	6.21	16.29	261.64	426.19	102	31.58	13.40	2755	426.19	50	5.34	0	2	0	2	200
56	388.484	44.57	60.58	52.37	20.76	492.28	328.05	164.23	492.28	0.00	129.56	0.08	127.56	6322	121.09	8.30	5.56	43.14	6.17	15.22	267.89	457.10	106	25.78	14.40	3883	457.10	56	6.45	2	0	2	0	7
57	388.40	37.65	56.41	37.87	18.69	430.42	339.22	91.20	417.38	13.04	105.95	0.10	93.00	4515	105.43	8.61	5.03	37.65	4.60	16.89	259.71	371.48	88	12.89	11.88	2364	371.48	41	1.90	2	0	2	0	174
58	345.34	32.64	50.18	31.32	16.43	391.73	296.65	95.08	354.54	37.18	85.08	0.12	65.45	2138	88.32	8.09	4.93	29.44	4.09	15.98	165.95	313.56	70	0.00	9.40	1078	313.56	28	4.15	1	0	1	0	200
59	361.30	35.85	38.29	51.85	17.42	422.12	332.37	89.74	384.83	37.29	80.11	0.14	89.43	3280	99.33	7.91	5.15	39.13	5.43	15.12	189.05	345.74	86	13.14	11.40	1686	345.74	39	3.48	1	0	1	0	200
60	292.427	31.76	33.99	45.26	16.02	404.73	317.17	87.56	380.99	23.74	128.30	0.06	71.28	2201	88.77	7.21	5.36	37.71	4.79	14.43	217.63	332.64	72	13.14	9.90	1205	332.64	31	2.15	0	0	0	0	200
61	393.533	42.75	59.46	48.43	20.37	483.65	340.48	143.16	408.46	75.19	160.23	0.04	121.37	5705	119.14	8.43	5.05	44.01	5.99	15.38	310.72	447.30	104	26.03	13.90	3291	447.30	53	2.93	1	0	1	0	200
62	454.30	38.92	42.14	56.30	18.31	481.41	318.37	163.04	446.27	35.14	74.78	0.05	94.34	4020	110.87	8.20	4.82	39.73	5.44	16.12	265.98	404.60	88	0.00	11.90	2219	404.60	42	6.24	2	0	2	0	200
63	254.5068	27.02	25.90	15.38	39.78	372.04	331.40	40.64	372.04	0.00	158.46	0.08	49.72	1238	77.44	7.40	5.13	34.37	3.72	14.62	341.41	275.54	56	0.00	7.90	642	275.54	20	-4.95	0	0	0	0	1
64	448.42	42.85	60.69	47.95	19.89	480.84	285.35	195.49	434.02	46.82	99.33	0.05	113.39	5779	117.25	8.62	4.20	39.33	6.00	16.85	245.29	420.98	102	41.57	13.38	3045	420.98	49	5.82	3	1	3	1	200
65	271.3126	31.60	28.95	50.62	15.22	416.11	300.85	115.26	386.20	29.91	70.37	0.11	75.02	3066	89.52	8.29	4.71	28.54	3.88	16.54	150.37	336.42	74	26.03	10.38	1572	336.42	33	3.68	1	0	1	0	200
66	423.36	42.11	45.02	59.46	21.85	473.23	333.60	139.63	456.48	16.75	111.12	0.08	120.76	5954	115.57	8.08	5.37	44.59	5.24	16.03	307.33	450.59	104	13.14	13.90	3222	450.59	53	6.84	1	0	1	0	200
67	203.336	21.10	30.28	21.05	11.97	325.93	258.82	67.12	260.20	65.73	85.91	0.10	36.00	589	61.85	6.31	5.00	26.63	3.59	12.45	160.49	226.91	42	12.89	6.43	335	226.91	14	-1.11	1	0	1	0	171
68	286.390	33.63	36.84	47.47	16.58	410.47	280.71	129.76	387.23	23.24	96.24	0.10	76.24	2624	93.87	7.53	4.62	35.51	5.12	14.99	192.12	350.21	74	0.00	10.40	1551	350.21	34	4.88	0	0	0	0	200
69	316.373	34.93	16.85	35.41	52.55	412.07	328.52	83.55	358.46	53.61	101.70	0.10	88.87	3521	96.69	7.89	4.48	30.89	4.81	15.30	181.50	357.61	86	26.28	11.40	1811	357.61	39	4.63	0	0	0	0	200
70	381.513	43.55	62.49	46.38	21.79	465.11	305.22	159.89	435.18	29.93	126.15	0.08	113.88	5530	114.45	8.60	6.12	41.35	5.48	17.26	242.29	430.75	102	15.79	13.38	2688	430.75	49	6.15	0	1	0	1	200
71	441.41	43.48	51.25	58.80	20.40	484.34	346.37	137.97	465.64	18.70	100.85	0.08	121.49	5608	120.17	8.27	4.38	44.09	6.11	14.25	255.71	441.05	104	25.78	13.90	3306	441.05	53	5.92	3	0	3	0	200
72	360.4040	41.66	42.34	62.43	20.21	491.69	358.51	133.19	459.83	31.86	111.75	0.08	119.58	6341	114.11	8.90	5.62	44.81	5.13	17.64	239.22	441.56	104	26.28	13.88	3190	441.56	52	5.63	0	0	0	0	200
73	378.561	43.42	58.53	50.22	21.51	445.19	368.52	76.66	445.19	0.00	138.85	0.12	115.42	5027	116.06	8.15	5.03	45.61	5.90	15.41	272.00	413.50	102	0.00	13.40	2755	413.50	50	3.46	0	0	0	0	157
74	377.458	42.39	59.78	44.71	22.68	470.21	323.12	147.09	441.46	28.76	123.04	0.08	119.99	6177	111.65	8.44	6.36	45.59	5.28	16.57	242.05	439.53	104	26.03	13.88	3369	439.53	52	5.38	1	0	1	0	200
75	343.26	30.38	34.14	42.14	14.85	390.14	231.45	158.69	354.32	35.82	60.89	0.07	70.87	2355	87.25	7.08	5.27	34.16	4.99	14.27	158.93	314.36	72	38.92	9.90	1243	314.36	31	3.95	3	0	3	0	200
76	285.4146	32.58	47.96	33.15	16.63	412.39	306.35	106.04	399.87	12.52	95.77	0.11	75.49	2859	92.89	8.01	4.58	35.61	4.63	15.99	182.15	347.95	74	12.89	10.38	1547	347.95	33	2.55	1	0	1	0	17
77	318.4104	39.08	56.99	41.42	18.84	456.70	322.11	134.59	456.70	0.00	86.67	0.12	99.23	4780	108.09	8.36	4.84	40.24	5.28	15.84	200.37	398.36	90	0.00	12.38	2601	398.36	44	5.57	0	0	0	0	1
78	393.44	38.13	57.09	38.20	19.10	420.59	330.67	89.92	408.84	11.75	114.60	0.10	87.44	3979	104.09	8.62	5.11	36.59	4.45	17.05	252.36	360.52	86	0.00	11.38	1900	360.52	38	2.83	1	0	1	0	200
79	444.48	42.95	59.80	46.61	22.43	469.14	336.58	132.55	434.03	35.10	145.76	0.04	114.83	5268	117.01	8.34	5.61	45.08	5.63	16.61	342.03	442.90	102	15.79	13.40	2698	442.90	50	4.76	1	1	1	1	200
80	402.524	41.20	55.12	48.58	19.90	449.17	282.92	166.24	432.32	16.85	122.53	0.05	115.42	5027	111.58	8.10	4.60	42.92	6.00	15.17	228.59	402.54	102	64.70	13.40	2755	402.54	50	2.81	4	0	4	0	200
81	371.4300	42.81	60.24	48.43	19.77	501.10	340.73	160.36	428.21	72.89	118.86	0.07	127.51	6360	120.70	8.39	4.62	43.72	6.33	16.31	264.10	459.11	106	26.03	14.40	3871	459.11	56	5.60	1	0	1	0	200
82	340.513	38.65	54.68	41.97	19.29	437.16	351.98	85.18	412.57	24.59	120.22	0.09	94.74	3881	106.20	8.14	4.52	36.92	5.06	16.09	246.58	396.55	88	0.00	11.90	2107	396.55	42	3.86	0	0	0	0	154
83	271.3126	30.72	45.48	31.58	15.09	398.92	269.94	128.98	382.01	16.91	85.03	0.11	76.24	2624	88.44	7.48	5.21	33.84	4.70	14.31	177.21	335.91	74	26.03	10.40	1551	335.91	34	3.02	1	0	1	0	200
84	274.379	32.20	44.33	35.85	16.43	370.33	277.12	93.22	342.96	27.37	74.42	0.16	71.92	2096	88.15	6.77	5.91	36.01	4.93	13.36	145.62	325.76	72	0.00	9.92	1127	325.76	32	4.83	0	0	0	0	200
85	346.541	38.67	54.59	41.95	19.47	424.03	322.35	101.68	412.47	11.56	128.44	0.10	89.43	3280	103.36	8.12	4.64	38.88	5.09	16.23	198.44	376.47	86	0.00	11.40	1686	376.47	39	4.15	0	0	0	0	200
86	293.415	31.12	47.75	29.85	15.78	414.97	313.56	101.41	367.83	47.14	113.86	0.06	70.73	2402	88.20	8.06	4.52	29.44	4.00	16.14	206.88	324.70	72	26.03	9.90	1232	324.70	31	1.56	1	0	1	0	200
87	392.544	44.30	50.48	61.60	20.82	511.01	371.85	139.16	487.93	23.08	148.40	0.04	119.12	6573	120.63	8.41	5.72	44.84	6.43	16.65	281.94	456.46	104	13.14	13.88	3566	456.46	52	4.09	0	0	0	0	200
88	300.5013	33.63	48.91	34.63	17.37	442.25	338.91	103.33	442.25	0.00	123.86	0.05	75.49	2859	96.39	8.18	5.62	37.11	4.88	16.07	252.96	365.04	74	0.00	10.38	1547	365.04	33	1.63	0	0	0	0	1
89	395.499	43.83	63.16	47.53	20.78	466.80	315.16	151.64	457.44	9.36	127.26	0.09	119.99	6177	117.69	8.84	4.64	39.68	5.46	17.58	219.39	429.78	104	38.67	13.88	3369	429.78	52	5.40	3	0	3	0	200
90	456.41	37.75	54.38	39.79	19.07	447.20	371.04	76.16	422.16	25.04	138.19	0.05	89.11	3389	109.05	8.39	4.79	43.52	5.06	16.67	327.27	372.43	86	0.00	11.40	1785	372.43	39	0.98	2	0	2	0	59
91	379.34	34.90	35.98	51.76	16.96	442.80	345.08	97.72	390.78	52.02	107.58	0.05	88.87	3521	100.62	8.00	5.90	35.81	4.90	16.17	247.83	371.89	86	26.28	11.40	1811	371.89	39	3.31	1	0	1	0	200
92	373.5213	43.49	61.53	47.69	21.23	452.68	363.90	88.79	440.21	12.47	135.90	0.12	119.78	6275	117.39	8.52	5.37	44.57	5.49	17.00	246.79	403.07	104	12.89	13.88	3435	403.07	52	2.31	1	0	1	0	13
93	309.3606	35.96	51.09	39.89	16.89	447.06	307.21	139.85	406.98	40.07	88.97	0.09	94.45	3851	101.86	7.78	4.60	41.65	5.77	15.24	201.12	382.17	88	28.93	11.88	2105	382.17	41	4.55	0	1	0	1	200
94	430.38	42.21	61.59	45.75	19.28	490.66	325.67	164.99	421.56	69.09	110.38	0.04	113.39	5779	118.03	8.59	4.20	37.91	5.41	17.13	266.73	431.13	102	28.93	13.38	3045	431.13	49	5.56	1	1	1	1	200
95	322.3594	36.37	56.08	35.73	17.31	447.02	303.25	143.77	425.62	21.40	93.15	0.09	98.86	4954	102.78	8.67	4.76	32.62	4.28	17.27	182.80	390.88	90	38.92	12.38	2671	390.88	44	3.63	2	0	2	0	200
96	389.472	44.02	62.66	48.82	20.56	479.43	321.92	157.52	468.08	11.36	122.20	0.08	125.93	6930	120.05	8.42	4.77	41.42	5.65	16.71	239.20	448.99	106	38.67	14.38	4039	448.99	55	5.46	3	0	3	0	200
97	400.539	44.16	63.79	47.53	21.16	458.71	330.33	128.38	410.21	48.50	120.18	0.09	113.88	5530	116.28	8.79	4.71	37.83	5.54	17.33	197.15	417.59	102	25.78	13.38	2688	417.59	49	6.22	2	0	2	0	200
98	400.41	38.82	57.28	40.41	18.76	468.15	341.78	126.36	447.78	20.37	122.48	0.05	99.53	4677	112.50	8.74	4.52	40.82	5.05	17.15	268.59	395.92	90	12.89	12.38	2472	395.92	44	2.57	2	0	2	0	200
99	325.426	37.57	54.65	39.47	18.58	419.35	314.96	104.39	388.24	31.11	89.77	0.14	94.74	3881	101.84	8.20	5.12	36.40	4.96	16.50	162.22	369.94	88	12.89	11.90	2107	369.94	42	4.36	1	0	1	0	200
100	375.40	37.05	53.17	39.19	18.81	411.26	353.35	57.91	400.18	11.08	103.17	0.14	88.87	3521	102.60	8.09	5.01	41.36	5.13	15.30	240.78	356.48	86	0.00	11.40	1811	356.48	39	1.26	1	0	1	0	12
101	388.40	37.37	39.19	54.31	18.61	427.69	344.35	83.35	414.93	12.76	117.08	0.10	94.74	3851	105.20	8.29	5.88	43.26	5.45	15.94	252.02	371.10	88	12.89	11.90	2026	371.10	42	2.29	2	0	2	0	200
102	334.4852	39.77	38.80	19.36	61.16	456.85	342.69	114.16	456.85	0.00	111.59	0.08	97.10	5564	109.37	9.27	5.87	35.64	4.29	18.44	237.81	395.04	90	0.00	12.35	2743	395.04	42	3.68	0	0	0	0	1
103	337.4461	37.41	53.26	40.97	17.99	480.64	368.02	112.62	407.07	73.58	116.57	0.05	100.71	4244	107.37	8.04	5.28	41.68	5.91	15.12	247.80	407.35	90	26.03	12.40	2551	407.35	45	2.75	1	0	1	0	200
104	303.453	33.39	50.53	32.80	16.83	438.54	323.26	115.27	425.99	12.54	103.23	0.06	75.71	2839	94.93	8.33	4.51	30.43	4.07	16.66	207.39	352.59	74	12.89	10.40	1443	352.59	34	2.29	1	0	1	0	200
105	287.3874	31.69	29.47	49.93	15.68	428.83	318.05	110.78	380.29	48.54	98.78	0.06	75.02	3066	91.95	8.39	4.52	29.85	3.72	16.66	206.62	346.07	74	26.03	10.38	1572	346.07	33	1.44	1	0	1	0	200
106	459.57	44.20	59.56	51.28	21.75	496.13	387.87	108.26	476.95	19.18	168.90	0.04	115.42	5027	122.40	8.34	5.45	47.48	6.23	16.66	346.71	440.60	102	0.00	13.40	2755	440.60	50	2.25	1	0	1	0	200
107	388.484	44.63	47.93	63.56	22.39	489.25	329.75	159.50	489.25	0.00	112.55	0.08	125.62	7114	119.62	8.73	5.65	44.32	5.89	17.30	250.98	457.03	106	25.78	14.38	3987	457.03	55	6.45	2	0	2	0	7
108	390.36	38.01	39.37	56.87	17.80	462.10	295.26	166.84	431.38	30.72	92.14	0.05	94.39	3992	107.73	8.54	4.35	32.63	4.96	16.79	250.93	396.95	88	15.79	11.90	2114	396.95	42	5.66	1	1	1	1	200
109	336.4613	37.74	18.69	39.43	55.10	453.96	328.34	125.63	429.78	24.19	110.69	0.09	100.24	4482	106.84	8.43	4.56	37.75	5.00	16.77	223.88	392.18	90	25.78	12.40	2575	392.18	45	2.05	2	0	2	0	32
110	327.399	37.13	40.22	53.46	17.72	443.07	308.95	134.13	417.61	25.47	90.66	0.10	94.87	3794	102.03	7.99	5.31	37.71	5.60	15.88	168.53	378.47	88	26.03	11.90	1947	378.47	42	4.45	1	0	1	0	200
